Estado			Sigla	codigoUF
Acre			AC	12
Alagoas			AL	27
Amapá			AP	16
Amazonas		AM	13
Bahia			BA	29
Ceará			CE	23
DistritoFederal		DF	53
EspíritoSanto		ES	32
Goiás			GO	52
Maranhão		MA	21
MatoGrosso		MT	51
MatoGrossodoSul		MS	50
MinasGerais		MG	31
Pará			PA	15
Paraíba			PB	25
Paraná			PR	41
Pernambuco		PE	26
Piauí			PI	22
RiodeJaneiro		RJ	33
RioGrandedoNorte	RN	24
RioGrandedoSul		RS	43
Rondônia		RO	11
Roraima			RR	14
SantaCatarina		SC	42
SãoPaulo		SP	35
Sergipe			SE	28
Tocantins		TO	17
